Barcode,ProductName,Inspector,Location,Quantity,UoM,SellingPrice
144535_0_XL,,144535,F5,20.0,,0.0
144535_0_4XL,,144535,F5,1.0,,0.0
144535_0_3XL,,144535,F5,11.0,,0.0
144535_0_2XL,,144535,F5,4.0,,0.0
144535_3_S,,144535,F5,6.0,,0.0
144535_3_M,,144535,F5,14.0,,0.0
144535_3_XL,,144535,F5,10.0,,0.0
144535_3_L,,144535,F5,21.0,,0.0
144535_1_3XL,,144535,F5,5.0,,0.0
144535_1_2XL,,144535,F5,2.0,,0.0
144535_13_3XL,,144535,F5,2.0,,0.0
144535_2_2XL,,144535,F5,15.0,,0.0
144535_2_L,,144535,F5,3.0,,0.0
144535_5_4XL,,144535,F5,3.0,,0.0
144535_5_M,,144535,F5,2.0,,0.0
144535_5_3XL,,144535,F5,1.0,,0.0
144535_12_M,,144535,F5,12.0,,0.0
144535_12_S,,144535,F5,3.0,,0.0
144535_12_4XL,,144535,F5,2.0,,0.0
144535_12_XL,,144535,F5,8.0,,0.0
144535_12_L,,144535,F5,19.0,,0.0
144535_8_XL,,144535,F5,14.0,,0.0
144535_8_L,,144535,F5,5.0,,0.0
144535_8_S,,144535,F5,2.0,,0.0
144535_8_3XL,,144535,F5,5.0,,0.0
144535_8_2XL,,144535,F5,8.0,,0.0
144535E_0_4XL,,144535,F5,1.0,,0.0
144535E_0_2XL,,144535,F5,2.0,,0.0
144535E_0_XL,,144535,F5,7.0,,0.0
144535E_0_M,,144535,F5,6.0,,0.0
144535E_0_S,,144535,F5,2.0,,0.0
144535E_2_3XL,,144535,F5,13.0,,0.0
144535E_2_2XL,,144535,F5,9.0,,0.0
144535E_2_L,,144535,F5,15.0,,0.0
144535E_8_3XL,,144535,F5,8.0,,0.0
144535E_8_XL,,144535,F5,5.0,,0.0
144535E_8_L,,144535,F5,31.0,,0.0
144535E_3_XL,,144535,F5,4.0,,0.0
144535E_3_L,,144535,F5,4.0,,0.0
144535E_12_XL,,144535,F5,4.0,,0.0
144535E_12_L,,144535,F5,13.0,,0.0
144535E_8_S,,144535,F5,24.0,,0.0
144535E_8_M,,144535,F5,26.0,,0.0
144535E_11_M,,144535,F5,12.0,,0.0
144535E_11_S,,144535,F5,1.0,,0.0
144535E_11_4XL,,144535,F5,1.0,,0.0
144535E_11_3XL,,144535,F5,1.0,,0.0
144535E_11_2XL,,144535,F5,2.0,,0.0
144535E_11_XL,,144535,F5,9.0,,0.0
144535E_11_L,,144535,F5,13.0,,0.0
144558_0_2XL,,144535,F5,5.0,,0.0
144558_0_XL,,144535,F5,12.0,,0.0
