Barcode,ProductName,Inspector,Location,Quantity,UoM,SellingPrice
334074_8_M,,334074,6B,11.0,,0.0
334074_8_S,,334074,6B,3.0,,0.0
334074_8_XL,,334074,6B,6.0,,0.0
334074_8_L,,334074,6B,11.0,,0.0
334074_8_4XL,,334074,6B,3.0,,0.0
334074_8_3XL,,334074,6B,6.0,,0.0
334074_8_2XL,,334074,6B,8.0,,0.0
334074_6_L,,334074,6B,21.0,,0.0
334074_6_M,,334074,6B,2.0,,0.0
334074_6_3XL,,334074,6B,3.0,,0.0
334074_6_2XL,,334074,6B,8.0,,0.0
334074_6_XL,,334074,6B,22.0,,0.0
334074_2_M,,334074,6B,12.0,,0.0
334074_2_S,,334074,6B,7.0,,0.0
334074_2_3XL,,334074,6B,5.0,,0.0
334074_2_XL,,334074,6B,23.0,,0.0
334074_2_L,,334074,6B,21.0,,0.0
334074_2_2XL,,334074,6B,14.0,,0.0
334074_4_XL,,334074,6B,18.0,,0.0
334074_4_L,,334074,6B,1.0,,0.0
334074_4_4XL,,334074,6B,3.0,,0.0
334074_4_3XL,,334074,6B,1.0,,0.0
334074_4_2XL,,334074,6B,11.0,,0.0
334074_14_M,,334074,6B,9.0,,0.0
334074_14_S,,334074,6B,2.0,,0.0
334074_14_L,,334074,6B,22.0,,0.0
334074_14_4XL,,334074,6B,1.0,,0.0
334074_14_3XL,,334074,6B,7.0,,0.0
334074_14_2XL,,334074,6B,7.0,,0.0
334074_14_XL,,334074,6B,14.0,,0.0
334074_9_L,,334074,6B,18.0,,0.0
334074_9_S,,334074,6B,3.0,,0.0
334074_9_M,,334074,6B,2.0,,0.0
334074_9_3XL,,334074,6B,4.0,,0.0
334074_9_2XL,,334074,6B,6.0,,0.0
334074_9_XL,,334074,6B,14.0,,0.0
335152_1_L,,334074,6B,12.0,,0.0
335152_1_M,,334074,6B,1.0,,0.0
335152_1_3XL,,334074,6B,3.0,,0.0
335152_1_2XL,,334074,6B,3.0,,0.0
335152_1_XL,,334074,6B,16.0,,0.0
332730_9_L,,334074,6B,7.0,,0.0
332730_9_M,,334074,6B,8.0,,0.0
332730_9_S,,334074,6B,3.0,,0.0
332730_9_XL,,334074,6B,21.0,,0.0
332730_9_4XL,,334074,6B,1.0,,0.0
332730_9_3XL,,334074,6B,3.0,,0.0
332730_9_2XL,,334074,6B,17.0,,0.0
332190_4_L,,334074,6B,16.0,,0.0
332190_4_M,,334074,6B,10.0,,0.0
332190_4_XL,,334074,6B,17.0,,0.0
332190_4_4XL,,334074,6B,2.0,,0.0
332190_4_3XL,,334074,6B,2.0,,0.0
332190_4_2XL,,334074,6B,7.0,,0.0
331046_6_M,,334074,6B,9.0,,0.0
331046_6_S,,334074,6B,5.0,,0.0
331046_6_XL,,334074,6B,4.0,,0.0
331046_6_L,,334074,6B,10.0,,0.0
335184_0_XL,,334074,6B,3.0,,0.0
335184_0_L,,334074,6B,11.0,,0.0
335183_4_M,,334074,6B,5.0,,0.0
335183_4_L,,334074,6B,15.0,,0.0
335183_4_2XL,,334074,6B,3.0,,0.0
335183_4_XL,,334074,6B,12.0,,0.0
