"SKU","Parent Product SKU","Product Name","Category","Price Type","Unit","Tax-Exclusive Price","Min Price","Max Price","Cost","Supplier Price","Product Tags","Inventory Type","Track Stock Levels","Barcode","Thongthan_Quantity","Thongthan_Warning Stock Level","Thongthan_Ideal Stock Level","Highbury-Platinum_Quantity","Highbury-Platinum_Warning Stock Level","Highbury-Platinum_Ideal Stock Level","Sale_Quantity","Sale_Warning Stock Level","Sale_Ideal Stock Level","Presale_Quantity","Presale_Warning Stock Level","Presale_Ideal Stock Level","OnlineSale_Quantity","OnlineSale_Warning Stock Level","OnlineSale_Ideal Stock Level","Shopee_Quantity","Shopee_Warning Stock Level","Shopee_Ideal Stock Level","Lazada_Quantity","Lazada_Warning Stock Level","Lazada_Ideal Stock Level","Showroom_Quantity","Showroom_Warning Stock Level","Showroom_Ideal Stock Level","FactorySale_Quantity","FactorySale_Warning Stock Level","FactorySale_Ideal Stock Level","Supplier","Tax Name","Store Credits","Kitchen Station","Product Id","Online Price","Online Discounted Price","Product Description"
"#Required(Must be unique)","","Required","Optional","Required(Fixed/Variable/Unit)","Required if the price type is Unit. Leave this field empty if the price Type is either Fixed or Variable.","Optional; 0 by default","Optional (This field can only be modified when pricing type is variable); The value should be Tax-Exclusive as per your Display Price setting in the BackOffice.","Optional (This field can only be modified when pricing type is variable); The value should be Tax-Exclusive as per your Display Price setting in the BackOffice.","Optional","Optional(this field can only be modified if 'Fix Supplier Price' is selected for at least one store in Account Settings)","Optional(Use ; to separate multiple tags)","Optional(Simple/Composite/Serialized; Simple by default if tracking inventory)","Required; Enter 0 to disable; 1 to enable","Optional(Must be unique if specified)","Optional; 0 by default if tracking inventory","Optional","Optional","Optional; 0 by default if tracking inventory","Optional","Optional","Optional; 0 by default if tracking inventory","Optional","Optional","Optional; 0 by default if tracking inventory","Optional","Optional","Optional; 0 by default if tracking inventory","Optional","Optional","Optional; 0 by default if tracking inventory","Optional","Optional","Optional; 0 by default if tracking inventory","Optional","Optional","Optional; 0 by default if tracking inventory","Optional","Optional","Optional; 0 by default if tracking inventory","Optional","Optional","Optional(Use ; to separate multiple suppliers)","Optional","Optional","Optional; Leave it blank for Default Kitchen Station; Enter 'Do Not Print Kitchen Docket' to not print kitchen docket","Please DO NOT TOUCH this column; as it contains each product's unique reference ID. Doing so will result in unsuccessful import for all products listed in this sheet.","Optional; The value should be Tax-Exclusive as per your Display Price setting in the BackOffice.","Optional; The value should be Tax-Exclusive as per your Display Price setting in the BackOffice.","Optional"
"010001_5_30","","010001_5_30 เข็มขัด","Shirts","Fixed","","595.00","","","595.00","","เข็มขัด","Simple","1","010001_5_30","2.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","603a0548b9c13c0006e2b5bf","","",""
"010001_5_32","","010001_5_32 เข็มขัด","Shirts","Fixed","","595.00","","","595.00","","เข็มขัด","Simple","1","010001_5_32","3.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","603a0549b9c13c0006e2b5c2","","",""
"010001_5_34","","010001_5_34 เข็มขัด","Shirts","Fixed","","595.00","","","595.00","","เข็มขัด","Simple","1","010001_5_34","4.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","603a054ab9c13c0006e2b5c5","","",""
"010001_5_36","","010001_5_36 เข็มขัด","Shirts","Fixed","","595.00","","","595.00","","เข็มขัด","Simple","1","010001_5_36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","603a054ab9c13c0006e2b5c8","","",""
"010001_5_38","","010001_5_38 เข็มขัด","Shirts","Fixed","","595.00","","","595.00","","เข็มขัด","Simple","1","010001_5_38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","603a054ab9c13c0006e2b5cb","","",""
"010001_5_40","","010001_5_40 เข็มขัด","Shirts","Fixed","","595.00","","","595.00","","เข็มขัด","Simple","1","010001_5_40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","603a054ab9c13c0006e2b5ce","","",""
"010002_13_32","","010002_13_32 เข็มขัด","Shirts","Fixed","","595.00","","","595.00","","เข็มขัด","Simple","1","010002_13_32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","603a054ab9c13c0006e2b5d1","","",""
"010002_13_34","","010002_13_34 เข็มขัด","Shirts","Fixed","","595.00","","","595.00","","เข็มขัด","Simple","1","010002_13_34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","603a054ab9c13c0006e2b5d4","","",""
"010002_13_36","","010002_13_36 เข็มขัด","Shirts","Fixed","","595.00","","","595.00","","เข็มขัด","Simple","1","010002_13_36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","603a054bb9c13c0006e2b5d7","","",""
"010002_13_38","","010002_13_38 เข็มขัด","Shirts","Fixed","","595.00","","","595.00","","เข็มขัด","Simple","1","010002_13_38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","603a054bb9c13c0006e2b5da","","",""
"010002_13_40","","010002_13_40 เข็มขัด","Shirts","Fixed","","595.00","","","595.00","","เข็มขัด","Simple","1","010002_13_40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","603a054bb9c13c0006e2b5dd","","",""
"010002_7_32","","010002_7_32 เข็มขัด","Shirts","Fixed","","595.00","","","595.00","","เข็มขัด","Simple","1","010002_7_32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","603a054bb9c13c0006e2b5e0","","",""
"010002_7_34","","010002_7_34 เข็มขัด","Shirts","Fixed","","595.00","","","595.00","","เข็มขัด","Simple","1","010002_7_34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","603a054bb9c13c0006e2b5e3","","",""
"010002_7_36","","010002_7_36 เข็มขัด","Shirts","Fixed","","595.00","","","595.00","","เข็มขัด","Simple","1","010002_7_36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","603a054bb9c13c0006e2b5e6","","",""
"010002_7_38","","010002_7_38 เข็มขัด","Shirts","Fixed","","595.00","","","595.00","","เข็มขัด","Simple","1","010002_7_38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","603a054bb9c13c0006e2b5e9","","",""
"010002_7_40","","010002_7_40 เข็มขัด","Shirts","Fixed","","595.00","","","595.00","","เข็มขัด","Simple","1","010002_7_40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","603a054bb9c13c0006e2b5ec","","",""
"010003_5_32","","010003_5_32 เข็มขัด","Shirts","Fixed","","595.00","","","595.00","","เข็มขัด","Simple","1","010003_5_32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","603a054cb9c13c0006e2b5ef","","",""
