SKU,Parent Product SKU,Product Name,Category,Price Type,Unit,Price,Cost,Supplier Price,Product Tags,Inventory Type,Track Stock Levels,Barcode,Variant Name 1,Variant Value 1,Variant Name 2,Variant Value 2,Variant Name 3,Variant Value 3,Thongthan_Quantity,Warning Stock Level,Ideal Stock Level,Supplier,Tax Name,Store Credits,Kitchen Printer
#Required (Must be unique),,Required,Optional,Required (Fixed/Variable/Unit),Required if the price type is Unit. Leave this field empty if the price Type is either Fixed or Variable.,Optional; 0 by default,Optional,Optional(this field can only be modified if 'Fix Supplier Price' is selected for at least one store in Account Settings),Optional; use semicolon ( ; ) to separate multiple tags,Optional(Simple/Composite/Serialized; Simple by default if tracking inventory),Required (0/1),Optional; Must be unique if specified; use semicolon ( ; ) to separate multiple barcodes,,,,,,,Optional; 0 by default if tracking inventory,Optional,Optional,Optional; use semicolon ( ; ) to separate multiple suppliers,Optional,Optional,Optional
131015_11_SS,,131015_11_SS เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131015_11_SS,,,,,,,0,,,,,,
131015_11_S,,131015_11_S เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131015_11_S,,,,,,,0,,,,,,
131015_11_M,,131015_11_M เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131015_11_M,,,,,,,0,,,,,,
131015_11_L,,131015_11_L เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131015_11_L,,,,,,,0,,,,,,
131015_11_XL,,131015_11_XL เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131015_11_XL,,,,,,,0,,,,,,
131015_11_2XL,,131015_11_2XL เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131015_11_2XL,,,,,,,1,,,,,,
131015_11_3XL,,131015_11_3XL เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,515.0,515.0,,,,1,131015_11_3XL,,,,,,,0,,,,,,
131065_5_SS,,131065_5_SS เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,465.0,465.0,,,,1,131065_5_SS,,,,,,,0,,,,,,
131065_5_S,,131065_5_S เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,465.0,465.0,,,,1,131065_5_S,,,,,,,51,,,,,,
131065_5_M,,131065_5_M เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,465.0,465.0,,,,1,131065_5_M,,,,,,,78,,,,,,
131065_5_L,,131065_5_L เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,465.0,465.0,,,,1,131065_5_L,,,,,,,74,,,,,,
