SKU,Parent Product SKU,Product Name,Category,Price Type,Unit,Price,Cost,Supplier Price,Product Tags,Inventory Type,Track Stock Levels,Barcode,Variant Name 1,Variant Value 1,Variant Name 2,Variant Value 2,Variant Name 3,Variant Value 3,Thongthan_Quantity,Warning Stock Level,Ideal Stock Level,Supplier,Tax Name,Store Credits,Kitchen Printer,Product Id
#Required (Must be unique),,Required,Optional,Required (Fixed/Variable/Unit),Required if the price type is Unit. Leave this field empty if the price Type is either Fixed or Variable.,Optional; 0 by default,Optional,Optional(this field can only be modified if 'Fix Supplier Price' is selected for at least one store in Account Settings),Optional; use semicolon ( ; ) to separate multiple tags,Optional(Simple/Composite/Serialized; Simple by default if tracking inventory),Required (0/1),Optional; Must be unique if specified; use semicolon ( ; ) to separate multiple barcodes,,,,,,,Optional; 0 by default if tracking inventory,Optional,Optional,Optional; use semicolon ( ; ) to separate multiple suppliers,Optional,Optional,Optional,Please DO NOT TOUCH this column; as it contains each product's unique reference ID. Doing so will result in unsuccessful import for all products listed in this sheet.
144535_0_4XL,,144535_0_4XL เชิ้ตผู้ชายผ้าพื้นแขนยาว,Shirts,Fixed,,595.00,595.00,,,,1,144535_0_4XL,,,,,,,1.0,,,,,,,602158164af5120006babf91
144535_0_3XL,,144535_0_3XL เชิ้ตผู้ชายผ้าพื้นแขนยาว,Shirts,Fixed,,595.00,595.00,,,,1,144535_0_3XL,,,,,,,11.0,,,,,,,602158164af5120006babf8e
144535_0_2XL,,144535_0_2XL เชิ้ตผู้ชายผ้าพื้นแขนยาว,Shirts,Fixed,,545.00,545.00,,,,1,144535_0_2XL,,,,,,,4.0,,,,,,,602158164af5120006babf8b
144535_3_S,,144535_3_S เชิ้ตผู้ชายผ้าพื้นแขนยาว,Shirts,Fixed,,545.00,545.00,,,,1,144535_3_S,,,,,,,6.0,,,,,,,602158194af5120006babfca
144535_3_M,,144535_3_M เชิ้ตผู้ชายผ้าพื้นแขนยาว,Shirts,Fixed,,545.00,545.00,,,,1,144535_3_M,,,,,,,14.0,,,,,,,602158194af5120006babfc7
144535_3_XL,,144535_3_XL เชิ้ตผู้ชายผ้าพื้นแขนยาว,Shirts,Fixed,,545.00,545.00,,,,1,144535_3_XL,,,,,,,10.0,,,,,,,602158194af5120006babfcd
144535_3_L,,144535_3_L เชิ้ตผู้ชายผ้าพื้นแขนยาว,Shirts,Fixed,,545.00,545.00,,,,1,144535_3_L,,,,,,,21.0,,,,,,,602158184af5120006babfc4
144535_1_3XL,,144535_1_3XL เชิ้ตผู้ชายผ้าพื้นแขนยาว,Shirts,Fixed,,595.00,595.00,,,,1,144535_1_3XL,,,,,,,5.0,,,,,,,602158174af5120006babfa3
144535_1_2XL,,144535_1_2XL เชิ้ตผู้ชายผ้าพื้นแขนยาว,Shirts,Fixed,,545.00,545.00,,,,1,144535_1_2XL,,,,,,,2.0,,,,,,,602158174af5120006babfa0
